parsable_tree,readable_tree,accuracy,interpretability,ground_truth_value,seed,pop_size,num_gen,num_offsprings,encoder_type,ground_truth_type,sampling,warm-up,data,split_seed,latex_tree,problem
"[-, -, max, x_9, -3.64, *, x_8, x_3, max, *, *, x_4, x_3, -, x_9, 0.31, -, max, x_5, x_8, x_12]","((max(x_9,-3.64)-(x_8*x_3))-max(((x_4*x_3)*(x_9-0.31)),(max(x_5,x_8)-x_12)))",12.600470542907717,-50.70000076293945,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{3} x_{8} + \max\left(-3.64, x_{9}\right) - \max\left(x_{3} x_{4} \left(x_{9} - 0.31\right), - x_{12} + \max\left(x_{5}, x_{8}\right)\right)",boston
"[-, x_5, x_12]",(x_5-x_12),25.76051902770996,-78.0,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,- x_{12} + x_{5},boston
"[-, -, x_12, *, +, x_9, 0.87, x_3, -, max, x_5, x_8, max, x_9, -3.64]","((x_12-((x_9+0.87)*x_3))-(max(x_5,x_8)-max(x_9,-3.64)))",13.63814640045166,-61.29999923706055,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} - x_{3} \left(x_{9} + 0.87\right) - \left(- \max\left(-3.64, x_{9}\right) + \max\left(x_{5}, x_{8}\right)\right)",boston
"[-, -, x_12, *, *, x_0, x_3, x_8, -, max, x_5, *, x_9, x_8, max, x_9, -3.64]","((x_12-((x_0*x_3)*x_8))-(max(x_5,(x_9*x_8))-max(x_9,-3.64)))",13.36147117614746,-60.400001525878906,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{0} x_{3} x_{8} + x_{12} - \left(- \max\left(-3.64, x_{9}\right) + \max\left(x_{5}, x_{8} x_{9}\right)\right)",boston
"[-, -, max, x_9, -3.64, *, x_8, x_3, max, *, *, x_4, x_3, x_5, -, max, x_5, x_8, x_12]","((max(x_9,-3.64)-(x_8*x_3))-max(((x_4*x_3)*x_5),(max(x_5,x_8)-x_12)))",12.656060218811035,-51.59999847412109,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{3} x_{8} + \max\left(-3.64, x_{9}\right) - \max\left(x_{3} x_{4} x_{5}, - x_{12} + \max\left(x_{5}, x_{8}\right)\right)",boston
"[-, -, x_12, -, -, x_3, x_10, x_12, x_5]",((x_12-((x_3-x_10)-x_12))-x_5),20.542016983032227,-75.30000305175781,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12} - x_{5} - \left(- x_{10} - x_{12} + x_{3}\right),boston
"[-, -, x_12, *, *, x_8, x_3, x_8, max, x_5, x_3]","((x_12-((x_8*x_3)*x_8))-max(x_5,x_3))",15.182188987731934,-66.5,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"x_{12} - x_{3} x_{8} x_{8} - \max\left(x_{3}, x_{5}\right)",boston
"[-, x_8, -, +, x_5, x_3, x_12]",(x_8-((x_5+x_3)-x_12)),23.6368350982666,-76.19999694824219,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{8} - \left(- x_{12} + x_{3} + x_{5}\right),boston
"[-, -, x_12, *, *, x_0, x_3, x_8, -, max, x_5, x_12, x_12]","((x_12-((x_0*x_3)*x_8))-(max(x_5,x_12)-x_12))",13.814470291137695,-65.5999984741211,1234.0,704,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,"- x_{0} x_{3} x_{8} + x_{12} - \left(- x_{12} + \max\left(x_{12}, x_{5}\right)\right)",boston
[x_12],x_12,32.10724639892578,-78.9000015258789,1234.0,705,200,50,200,not_spcified,elastic_model,not_specified,not_specified,boston,40,x_{12},boston
